state,date,sentiment,total,row,col,pval
OK,9.5,-0.02527275641025641,312,6,6,0.3355
OK,11.5,-0.07366846590909093,352,6,6,0.001156
OK,13.5,-0.04151872509960159,251,6,6,0.4906
OK,15.5,0.03391553030303031,264,6,6,0.06591
OK,17.5,-0.0016252396166134163,313,6,6,0.4508
OK,19.5,0.011881072555205043,317,6,6,0.6325
OK,21.5,0.059699603174603176,252,6,6,0.1665
OK,23.5,0.06262792207792207,308,6,6,0.03439
OK,25.5,0.04412398921832885,371,6,6,0.2926
OK,27.5,0.03840725806451613,372,6,6,0.05538
OK,29.5,0.028010397553516826,327,6,6,0.2312
OK,31.0,0.03456453488372093,172,6,6,0.7472
NC,1.5,-0.08892169556840077,2595,6,10,9.696e-13
NC,3.5,-0.027589841358196494,7186,6,10,1.239e-05
NC,5.5,-0.04403178294573643,1548,6,10,9.302e-05
NC,7.5,-0.04718169605373636,1191,6,10,0.01752
NC,9.5,-0.04339054514480408,1174,6,10,0.02702
NC,11.5,-0.03776839899413244,1193,6,10,0.02556
NC,13.5,-0.020728073770491802,976,6,10,0.08859
NC,15.5,0.04521387347391787,901,6,10,0.001608
NC,17.5,0.026198783185840704,904,6,10,0.09362
NC,19.5,0.04120720802919708,1096,6,10,0.04512
NC,21.5,0.05533746835443038,790,6,10,0.01826
NC,23.5,0.03259754385964913,1140,6,10,0.06871
NC,25.5,0.046469272030651335,1305,6,10,0.001137
NC,27.5,0.04690875290472501,1291,6,10,0.01182
NC,29.5,0.028570833333333333,1176,6,10,0.01026
NC,31.0,0.015103256445047487,737,6,10,0.9734
PA,1.5,-0.09737186127167631,4325,4,11,1.062e-29
PA,3.5,-0.06315137048649742,9887,4,11,9.119e-30
PA,5.5,-0.03425494791666667,2304,4,11,0.0009557
PA,7.5,-0.07368458354888774,1933,4,11,2.514e-07
PA,9.5,-0.04271312108055957,2073,4,11,0.00235
PA,11.5,-0.03967935386168602,1981,4,11,9.679e-05
PA,13.5,-0.006847901399067291,1501,4,11,0.4711
PA,15.5,0.02252739825581395,1376,4,11,0.012
PA,17.5,-0.0030844978165938904,1374,4,11,0.885
PA,19.5,0.001566,1650,4,11,0.97
PA,21.5,0.032227121001390815,1438,4,11,0.07723
PA,23.5,0.039159215219976215,1682,4,11,0.01206
PA,25.5,0.05229613577023499,1915,4,11,3.908e-05
PA,27.5,0.02687473849372385,1912,4,11,0.1276
